Entity ID,Start Date,End Date,Satellite,Projection,Zone Code,Datum Code,Year of Composite,Region,Number of Days,Available Bands,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
AAUS201421021619,2014/07/29,2014/08/04,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,7 Day Composite,14,2014/08/06,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201421021619,AAUS201421021619,http://earthexplorer.usgs.gov/download/options/2751/AAUS201421021619
AAUS201421022319,2014/07/29,2014/08/11,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,14 Day Composite,14,2014/08/13,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201421022319,AAUS201421022319,http://earthexplorer.usgs.gov/download/options/2751/AAUS201421022319
AAUS201420321619,2014/07/22,2014/08/04,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,14 Day Composite,14,2014/08/06,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201420321619,AAUS201420321619,http://earthexplorer.usgs.gov/download/options/2751/AAUS201420321619
AAUS201420320919,2014/07/22,2014/07/28,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,7 Day Composite,14,2014/07/30,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201420320919,AAUS201420320919,http://earthexplorer.usgs.gov/download/options/2751/AAUS201420320919
AAUS201419620919,2014/07/15,2014/07/28,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,14 Day Composite,14,2014/07/30,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201419620919,AAUS201419620919,http://earthexplorer.usgs.gov/download/options/2751/AAUS201419620919
AAUS201419620219,2014/07/15,2014/07/21,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,7 Day Composite,14,2014/07/23,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201419620219,AAUS201419620219,http://earthexplorer.usgs.gov/download/options/2751/AAUS201419620219
AAUS201418919519,2014/07/08,2014/07/14,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,7 Day Composite,14,2014/07/16,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201418919519,AAUS201418919519,http://earthexplorer.usgs.gov/download/options/2751/AAUS201418919519
AAUS201418920219,2014/07/08,2014/07/21,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,14 Day Composite,14,2014/07/23,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201418920219,AAUS201418920219,http://earthexplorer.usgs.gov/download/options/2751/AAUS201418920219
AAUS201418218819,2014/07/01,2014/07/07,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,7 Day Composite,14,2014/07/09,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201418218819,AAUS201418218819,http://earthexplorer.usgs.gov/download/options/2751/AAUS201418218819
AAUS201418219519,2014/07/01,2014/07/14,NOAA-19,Lambert Azimuthal Equal Area,62,Sphere; US only,2014,US,14 Day Composite,14,2014/07/16,22°28'45.80"N,75°24'58.86"W,48°24'11.02"N,128°31'48.22"W,46°42'17.64"N,65°23'40.74"W,22°28'45.80"N,75°24'58.86"W,23°35'01.54"N,119°58'20.24"W,22.47939,-75.41635,48.40306,-128.53006,46.7049,-65.39465,22.47939,-75.41635,23.58376,-119.97229,AAUS201418219519,AAUS201418219519,http://earthexplorer.usgs.gov/download/options/2751/AAUS201418219519
