Year,Crop Yield,,,
1982, 120.08670520231213,,,
1983, 87.57225433526013,,,
1984, 112.71676300578035,,,
1985, 126.15606936416187,,,
1986, 135.26011560693644,,,
1987, 131.3583815028902,,,
1988, 83.67052023121389,,,
1989, 118.35260115606935,,,
1990, 126.15606936416187,,,
1991, 117.05202312138728,,,
1992, 147.39884393063585,,,
1993, 80.63583815028902,,,
1994, 153.03468208092482,,,
1995, 122.6878612716763,,,
1996, 138.29479768786126,,,
1997, 138.2947976878613,,,
1998, 145.66473988439307,,,
1999, 149.13294797687863,,,
2000, 143.93063583815027,,,
2001, 147.39884393063585,,,
