X	Y	T	NOAA NCEP CPC GMSM w
degree_east	degree_north	months since 1960-01-01	mm
   -95.75000    	    40.25000    	    268.5000    	    468.4054    
   -95.25000    	    40.25000    	    268.5000    	    494.5029    
   -94.75000    	    40.25000    	    268.5000    	    507.6575    
   -94.25000    	    40.25000    	    268.5000    	    505.0315    
   -93.75000    	    40.25000    	    268.5000    	    535.4745    
   -93.25000    	    40.25000    	    268.5000    	    564.1713    
   -92.75000    	    40.25000    	    268.5000    	    546.1358    
   -92.25000    	    40.25000    	    268.5000    	    499.0707    
   -91.75000    	    40.25000    	    268.5000    	    487.2146    
   -91.25000    	    40.25000    	    268.5000    	    491.5353    
   -95.75000    	    40.75000    	    268.5000    	    468.9124    
   -95.25000    	    40.75000    	    268.5000    	    498.7888    
   -94.75000    	    40.75000    	    268.5000    	    526.8641    
   -94.25000    	    40.75000    	    268.5000    	    521.5328    
   -93.75000    	    40.75000    	    268.5000    	    532.1077    
   -93.25000    	    40.75000    	    268.5000    	    548.9928    
   -92.75000    	    40.75000    	    268.5000    	    512.3375    
   -92.25000    	    40.75000    	    268.5000    	    503.2928    
   -91.75000    	    40.75000    	    268.5000    	    495.6531    
   -91.25000    	    40.75000    	    268.5000    	    494.4904    
   -95.75000    	    41.25000    	    268.5000    	    462.8472    
   -95.25000    	    41.25000    	    268.5000    	    497.4690    
   -94.75000    	    41.25000    	    268.5000    	    509.7070    
   -94.25000    	    41.25000    	    268.5000    	    500.9469    
   -93.75000    	    41.25000    	    268.5000    	    505.2656    
   -93.25000    	    41.25000    	    268.5000    	    510.1518    
   -92.75000    	    41.25000    	    268.5000    	    500.7438    
   -92.25000    	    41.25000    	    268.5000    	    486.0363    
   -91.75000    	    41.25000    	    268.5000    	    459.5675    
   -91.25000    	    41.25000    	    268.5000    	    452.5045    
   -95.75000    	    41.75000    	    268.5000    	    447.7136    
   -95.25000    	    41.75000    	    268.5000    	    482.4595    
   -94.75000    	    41.75000    	    268.5000    	    494.3407    
   -94.25000    	    41.75000    	    268.5000    	    486.3804    
   -93.75000    	    41.75000    	    268.5000    	    485.3358    
   -93.25000    	    41.75000    	    268.5000    	    491.5923    
   -92.75000    	    41.75000    	    268.5000    	    498.3329    
   -92.25000    	    41.75000    	    268.5000    	    451.5534    
   -91.75000    	    41.75000    	    268.5000    	    439.3499    
   -91.25000    	    41.75000    	    268.5000    	    449.6298    
   -95.75000    	    42.25000    	    268.5000    	    428.8518    
   -95.25000    	    42.25000    	    268.5000    	    477.6395    
   -94.75000    	    42.25000    	    268.5000    	    486.1803    
   -94.25000    	    42.25000    	    268.5000    	    481.9383    
   -93.75000    	    42.25000    	    268.5000    	    484.2728    
   -93.25000    	    42.25000    	    268.5000    	    492.0966    
   -92.75000    	    42.25000    	    268.5000    	    469.0223    
   -92.25000    	    42.25000    	    268.5000    	    445.1272    
   -91.75000    	    42.25000    	    268.5000    	    454.4121    
   -91.25000    	    42.25000    	    268.5000    	    461.9854    
   -95.75000    	    42.75000    	    268.5000    	    370.7768    
   -95.25000    	    42.75000    	    268.5000    	    434.4739    
   -94.75000    	    42.75000    	    268.5000    	    452.5363    
   -94.25000    	    42.75000    	    268.5000    	    451.8033    
   -93.75000    	    42.75000    	    268.5000    	    475.7961    
   -93.25000    	    42.75000    	    268.5000    	    471.8867    
   -92.75000    	    42.75000    	    268.5000    	    462.9483    
   -92.25000    	    42.75000    	    268.5000    	    474.5995    
   -91.75000    	    42.75000    	    268.5000    	    482.0845    
   -91.25000    	    42.75000    	    268.5000    	    454.9165    
   -95.75000    	    43.25000    	    268.5000    	    346.3565    
   -95.25000    	    43.25000    	    268.5000    	    391.4797    
   -94.75000    	    43.25000    	    268.5000    	    420.0277    
   -94.25000    	    43.25000    	    268.5000    	    420.7954    
   -93.75000    	    43.25000    	    268.5000    	    449.7658    
   -93.25000    	    43.25000    	    268.5000    	    477.6230    
   -92.75000    	    43.25000    	    268.5000    	    481.0659    
   -92.25000    	    43.25000    	    268.5000    	    483.8558    
   -91.75000    	    43.25000    	    268.5000    	    471.3486    
   -91.25000    	    43.25000    	    268.5000    	    451.0571    
   -95.75000    	    40.25000    	    269.5000    	    501.9931    
   -95.25000    	    40.25000    	    269.5000    	    525.4605    
   -94.75000    	    40.25000    	    269.5000    	    547.7238    
   -94.25000    	    40.25000    	    269.5000    	    546.0699    
   -93.75000    	    40.25000    	    269.5000    	    580.3729    
   -93.25000    	    40.25000    	    269.5000    	    602.2606    
   -92.75000    	    40.25000    	    269.5000    	    573.5955    
   -92.25000    	    40.25000    	    269.5000    	    505.6602    
   -91.75000    	    40.25000    	    269.5000    	    480.6416    
   -91.25000    	    40.25000    	    269.5000    	    473.4366    
   -95.75000    	    40.75000    	    269.5000    	    506.8358    
   -95.25000    	    40.75000    	    269.5000    	    523.5234    
   -94.75000    	    40.75000    	    269.5000    	    543.5068    
   -94.25000    	    40.75000    	    269.5000    	    540.4221    
   -93.75000    	    40.75000    	    269.5000    	    560.1383    
   -93.25000    	    40.75000    	    269.5000    	    577.5601    
   -92.75000    	    40.75000    	    269.5000    	    527.7292    
   -92.25000    	    40.75000    	    269.5000    	    495.8510    
   -91.75000    	    40.75000    	    269.5000    	    480.4915    
   -91.25000    	    40.75000    	    269.5000    	    479.1592    
   -95.75000    	    41.25000    	    269.5000    	    512.7275    
   -95.25000    	    41.25000    	    269.5000    	    521.3784    
   -94.75000    	    41.25000    	    269.5000    	    520.6127    
   -94.25000    	    41.25000    	    269.5000    	    508.2609    
   -93.75000    	    41.25000    	    269.5000    	    509.1360    
   -93.25000    	    41.25000    	    269.5000    	    519.2456    
   -92.75000    	    41.25000    	    269.5000    	    502.1385    
   -92.25000    	    41.25000    	    269.5000    	    479.3390    
   -91.75000    	    41.25000    	    269.5000    	    456.5256    
   -91.25000    	    41.25000    	    269.5000    	    450.3782    
   -95.75000    	    41.75000    	    269.5000    	    489.8701    
   -95.25000    	    41.75000    	    269.5000    	    509.7187    
   -94.75000    	    41.75000    	    269.5000    	    506.2996    
   -94.25000    	    41.75000    	    269.5000    	    485.8119    
   -93.75000    	    41.75000    	    269.5000    	    481.2620    
   -93.25000    	    41.75000    	    269.5000    	    501.3000    
   -92.75000    	    41.75000    	    269.5000    	    513.2432    
   -92.25000    	    41.75000    	    269.5000    	    466.9422    
   -91.75000    	    41.75000    	    269.5000    	    451.5594    
   -91.25000    	    41.75000    	    269.5000    	    458.6962    
   -95.75000    	    42.25000    	    269.5000    	    456.6383    
   -95.25000    	    42.25000    	    269.5000    	    500.9987    
   -94.75000    	    42.25000    	    269.5000    	    501.0864    
   -94.25000    	    42.25000    	    269.5000    	    502.1409    
   -93.75000    	    42.25000    	    269.5000    	    503.9680    
   -93.25000    	    42.25000    	    269.5000    	    518.0758    
   -92.75000    	    42.25000    	    269.5000    	    498.6821    
   -92.25000    	    42.25000    	    269.5000    	    469.5025    
   -91.75000    	    42.25000    	    269.5000    	    473.4834    
   -91.25000    	    42.25000    	    269.5000    	    475.8379    
   -95.75000    	    42.75000    	    269.5000    	    376.7041    
   -95.25000    	    42.75000    	    269.5000    	    448.0567    
   -94.75000    	    42.75000    	    269.5000    	    473.5380    
   -94.25000    	    42.75000    	    269.5000    	    484.8141    
   -93.75000    	    42.75000    	    269.5000    	    503.4824    
   -93.25000    	    42.75000    	    269.5000    	    493.9807    
   -92.75000    	    42.75000    	    269.5000    	    483.9473    
   -92.25000    	    42.75000    	    269.5000    	    486.9760    
   -91.75000    	    42.75000    	    269.5000    	    493.3011    
   -91.25000    	    42.75000    	    269.5000    	    468.7602    
   -95.75000    	    43.25000    	    269.5000    	    355.2081    
   -95.25000    	    43.25000    	    269.5000    	    402.6809    
   -94.75000    	    43.25000    	    269.5000    	    444.7413    
   -94.25000    	    43.25000    	    269.5000    	    444.7483    
   -93.75000    	    43.25000    	    269.5000    	    472.3566    
   -93.25000    	    43.25000    	    269.5000    	    511.4479    
   -92.75000    	    43.25000    	    269.5000    	    514.0707    
   -92.25000    	    43.25000    	    269.5000    	    502.6287    
   -91.75000    	    43.25000    	    269.5000    	    479.3067    
   -91.25000    	    43.25000    	    269.5000    	    455.4330    
   -95.75000    	    40.25000    	    270.5000    	    446.2336    
   -95.25000    	    40.25000    	    270.5000    	    474.7546    
   -94.75000    	    40.25000    	    270.5000    	    511.2030    
   -94.25000    	    40.25000    	    270.5000    	    512.4027    
   -93.75000    	    40.25000    	    270.5000    	    537.3833    
   -93.25000    	    40.25000    	    270.5000    	    572.3743    
   -92.75000    	    40.25000    	    270.5000    	    589.0770    
   -92.25000    	    40.25000    	    270.5000    	    545.4486    
   -91.75000    	    40.25000    	    270.5000    	    491.4602    
   -91.25000    	    40.25000    	    270.5000    	    477.8860    
   -95.75000    	    40.75000    	    270.5000    	    454.3253    
   -95.25000    	    40.75000    	    270.5000    	    471.1967    
   -94.75000    	    40.75000    	    270.5000    	    500.6606    
   -94.25000    	    40.75000    	    270.5000    	    504.2036    
   -93.75000    	    40.75000    	    270.5000    	    538.9905    
   -93.25000    	    40.75000    	    270.5000    	    596.7936    
   -92.75000    	    40.75000    	    270.5000    	    591.8937    
   -92.25000    	    40.75000    	    270.5000    	    538.4769    
   -91.75000    	    40.75000    	    270.5000    	    503.2086    
   -91.25000    	    40.75000    	    270.5000    	    500.0652    
   -95.75000    	    41.25000    	    270.5000    	    461.5612    
   -95.25000    	    41.25000    	    270.5000    	    467.2566    
   -94.75000    	    41.25000    	    270.5000    	    474.6635    
   -94.25000    	    41.25000    	    270.5000    	    475.1378    
   -93.75000    	    41.25000    	    270.5000    	    503.9062    
   -93.25000    	    41.25000    	    270.5000    	    556.4581    
   -92.75000    	    41.25000    	    270.5000    	    538.9702    
   -92.25000    	    41.25000    	    270.5000    	    503.2032    
   -91.75000    	    41.25000    	    270.5000    	    477.5954    
   -91.25000    	    41.25000    	    270.5000    	    478.4768    
   -95.75000    	    41.75000    	    270.5000    	    460.9135    
   -95.25000    	    41.75000    	    270.5000    	    462.1342    
   -94.75000    	    41.75000    	    270.5000    	    465.7817    
   -94.25000    	    41.75000    	    270.5000    	    457.7015    
   -93.75000    	    41.75000    	    270.5000    	    466.3111    
   -93.25000    	    41.75000    	    270.5000    	    492.5208    
   -92.75000    	    41.75000    	    270.5000    	    504.1634    
   -92.25000    	    41.75000    	    270.5000    	    472.1165    
   -91.75000    	    41.75000    	    270.5000    	    475.4536    
   -91.25000    	    41.75000    	    270.5000    	    478.0410    
   -95.75000    	    42.25000    	    270.5000    	    452.4469    
   -95.25000    	    42.25000    	    270.5000    	    489.4291    
   -94.75000    	    42.25000    	    270.5000    	    479.7676    
   -94.25000    	    42.25000    	    270.5000    	    480.6006    
   -93.75000    	    42.25000    	    270.5000    	    484.0912    
   -93.25000    	    42.25000    	    270.5000    	    500.2360    
   -92.75000    	    42.25000    	    270.5000    	    494.4567    
   -92.25000    	    42.25000    	    270.5000    	    474.0171    
   -91.75000    	    42.25000    	    270.5000    	    480.4993    
   -91.25000    	    42.25000    	    270.5000    	    481.0211    
   -95.75000    	    42.75000    	    270.5000    	    380.5101    
   -95.25000    	    42.75000    	    270.5000    	    467.3075    
   -94.75000    	    42.75000    	    270.5000    	    468.2430    
   -94.25000    	    42.75000    	    270.5000    	    472.0027    
   -93.75000    	    42.75000    	    270.5000    	    484.1619    
   -93.25000    	    42.75000    	    270.5000    	    474.8015    
   -92.75000    	    42.75000    	    270.5000    	    464.9098    
   -92.25000    	    42.75000    	    270.5000    	    471.1069    
   -91.75000    	    42.75000    	    270.5000    	    481.6421    
   -91.25000    	    42.75000    	    270.5000    	    456.9435    
